ZNF417	FSD2
ZNF417	SUV39H1
ZNF417	DHX57
ZNF417	REL
ZNF417	TCF4
ZNF417	IKZF1
ZNF417	BHLHB9
ZNF417	LHX3
ZNF417	TFIP11
ZNF417	STX11
ZNF417	MDFI
ZNF417	SSX2IP
ZNF417	ZBTB8A
ZNF417	CCDC57
ZNF417	TRIM27
ZNF417	BLZF1
ZNF417	KANK2
ZNF417	ZNF837
ZNF417	ZBTB1
ZNF417	FHL5
ZNF417	KRTAP10-7
ZNF417	KRTAP10-9
ZNF417	TRIM23
ZNF417	PHC2
ZNF417	AXIN2
ZNF417	CCDC36
ZNF417	KRTAP12-3
ZNF417	USHBP1
ZNF417	KRTAP10-8
ZNF417	HOXA1
ZNF417	MEOX2
ZNF417	CDR2L
ZNF417	KRTAP10-3
ZNF417	TSGA10
ZNF417	KRT39
ZNF417	CSRNP1
ZNF417	ZNF526
ZNF417	RUNDC3A
ZNF417	VPS52
ZNF417	TRIM37
ZNF417	NDEL1
ZNF417	NOTCH2NL
ZNF417	PIH1D2
ZNF417	LMO1
ZNF417	COG6
ZNF417	LZTS1
ZNF417	PLSCR1
ZNF417	CEP44
ZNF417	ZNF587
ZNF417	TMCC2
ZNF417	KRTAP4-11
ZNF417	KLC3
ZNF417	KRTAP1-3
ZNF417	KRT40
ZNF417	KXD1
ZNF417	KRTAP4-2
ZNF417	PNMA2
ZNF417	KIAA1328
ZNF417	CEP70
ZNF417	ZBTB10
ZNF417	TENC1
ZNF417	NINL
ZNF417	SMARCD1
ZNF417	CCDC120
ZNF417	KRTAP10-5
ZNF417	TADA2A
ZNF417	NKX3-1
ZNF417	KIFC3
ZNF417	LZTS2
ZNF417	HOOK2
ZNF417	PIBF1
ZNF417	TRIM36
ZNF417	FHL2
ZNF417	FHL3
ZNF417	FST
ZNF417	EFS
ZNF417	C9orf169
ZNF417	PRDM14
ZNF417	ADAMTSL4
ZNF417	ZRANB1
ZNF417	REXO1L1
ZNF417	KRT38
ZNF417	MTUS2
ZNF417	MRFAP1L1
ZNF417	PICK1
ZNF417	HOMEZ
ZNF417	BEGAIN
ZNF417	CEP72
ZNF417	CCDC85B
GAGE12B	GMCL1
GAGE12B	GMCL1P1
SPATA22	GOLGA2
SPATA22	HSF2BP
ALOX5	SYCE1
ALOX5	GATC
ALOX5	MEOX1
ALOX5	C15orf55
ALOX5	CEP63
ALOX5	CEP57L1
ALOX5	CARD9
ALOX5	MAD1L1
ALOX5	HHIPL2
ALOX5	REL
ALOX5	MEOX2
FAM71F1	LZTS1
MRFAP1L1	C3orf62
MRFAP1L1	BYSL
MRFAP1L1	SMU1
MRFAP1L1	CAGE1
MRFAP1L1	SYCE1
MRFAP1L1	C1orf216
MRFAP1L1	TCF4
MRFAP1L1	SMARCE1
MRFAP1L1	MRFAP1
MRFAP1L1	RADIL
MRFAP1L1	UBTD1
MRFAP1L1	SFR1
MRFAP1L1	LNX1
MRFAP1L1	TSNAX
MRFAP1L1	CDK2AP2
MRFAP1L1	ABI3
MRFAP1L1	CCDC36
MRFAP1L1	PRKCDBP
MRFAP1L1	GTF2IRD1
MRFAP1L1	CDK2AP1
MRFAP1L1	TXN2
MRFAP1L1	LMO2
MRFAP1L1	CEP44
MRFAP1L1	ABI2
MRFAP1L1	CENPK
MRFAP1L1	MORF4L2
MRFAP1L1	PSMA1
MRFAP1L1	PIK3R2
MRFAP1L1	CSPP1
MRFAP1L1	SDCBP
MRFAP1L1	RDM1
MRFAP1L1	MRFAP1L1
MRFAP1L1	MORF4L1
MRFAP1L1	MORF4
MRFAP1L1	TMEM126B
MRFAP1L1	HGS
MRFAP1L1	PIH1D2
MRFAP1L1	EIF2B2
MRFAP1L1	WDYHV1
MRFAP1L1	GAS8
MRFAP1L1	MEOX2
ALOX15B	TRIM21
ALOX15B	CTAG1A
ALPI	KRTAP10-8
ALPI	KRTAP10-3
ALPI	KRTAP10-9
ALPI	NOTCH2NL
ALPP	NOTCH2NL
ALPP	TGM1
ALPP	GEMIN4
ALPP	KRTAP10-3
ALPP	KRTAP5-9
ALPP	C9orf169
ALPP	KRTAP4-12
ALPP	ADAMTSL4
ALPP	LCE1D
ALPP	LCE1E
ALPP	CRCT1
ALPP	LCE2C
ALPP	OTX1
ALPP	LCE3A
ALPP	LCE3B
ALPP	RGS20
ALPP	KRTAP1-3
ALPP	KRTAP1-1
ALPP	KRTAP10-8
ALPP	HOXA1
ALPP	MEOX2
MCEE	AGTRAP
MCEE	CMTM5
AMBN	UBQLN2
AMBP	FHL3
RAB40B	FHL3
AMD1	THAP4
AMD1	AMD1
3-Mar	FATE1
AMPD1	AMPD3
AMPD1	AMPD1
AMPD1	AMPD2
AMPD2	WDYHV1
AMPD2	CCNDBP1
AMPD2	AMPD2
AMPH	PPP3CA
AMPH	ARL16
AMPH	PPP3CC
AMPH	CCDC67
AMT	VAC14
AMT	PROP1
AMT	PDLIM4
AMY2A	PROP1
SLC16A9	KLC4
SLC16A9	MRPL11
SLC16A9	EIF4A2
PTPMT1	KRTAP9-2
PTPMT1	KRTAP4-12
PTPMT1	NOTCH2NL
PTPMT1	KRTAP5-9
PTPMT1	SIAH1
PTPMT1	SRCRB4D
PTPMT1	RGS20
PTPMT1	MDFI
PTPMT1	KRTAP10-3
PTPMT1	TRIM27
PTPMT1	KRT31
PTPMT1	ADAMTSL4
PTPMT1	KRT34
PTPMT1	KRTAP2-4
PTPMT1	C9orf169
PTPMT1	MTUS2
PTPMT1	KRTAP5-7
PTPMT1	KRTAP10-7
PTPMT1	LCE2C
PTPMT1	KRTAP10-8
PTPMT1	KRTAP1-3
PTPMT1	KRT40
PTPMT1	KRTAP9-3
C1orf65	MKRN3
C1orf65	NAP1L2
C1orf65	MCC
C1orf65	GEMIN4
C1orf65	EVI5
C1orf65	C15orf55
C1orf65	CALCOCO2
C1orf65	MAGEA6
C1orf65	CDR2L
C1orf65	MAGEA11
C1orf65	IKZF1
C1orf65	TRAF1
C1orf65	GRIPAP1
C1orf65	MID2
C1orf65	VPS52
C1orf65	GOLGA6L9
C1orf65	KRT15
C1orf65	MDFI
C1orf65	AMOTL2
C1orf65	HSF2BP
C1orf65	CEP44
C1orf65	TRIM27
C1orf65	ZRANB1
C1orf65	MTUS2
C1orf65	C1orf190
C1orf65	CADPS
C1orf65	CCDC136
C1orf65	PDLIM7
C1orf65	MAGEA2B
C1orf65	KRT35
C1orf65	TBC1D1
C1orf65	GOLGA2
C1orf65	SPERT
C1orf65	KRTAP10-7
C1orf65	SPTA1
C1orf65	EVI5L
C1orf65	KRT27
C1orf65	PPP1R12C
C1orf65	BACH2
C1orf65	KRT40
C1orf65	KXD1
C1orf65	KRTAP4-12
C1orf65	CCDC85B
ANK3	NAB2
HIPK4	APPBP2
YWHAQ	CCDC125
YWHAQ	TRIM42
SLC25A6	TRIP6
SLC25A6	MTUS2
SLC25A6	KRT31
SLC25A6	KRTAP4-12
SLC25A6	PLSCR1
SLC25A6	TRAF1
SLC25A6	MID2
SLC25A6	TRIM23
SLC25A6	LZTS2
SLC25A6	TEKT4
SLC25A6	NOTCH2NL
FLYWCH2	GET4
LINC00518	VAC14
LINC00518	UBQLN2
LINC00518	LHX2
ANXA1	KIAA1715
ANXA1	MEIS2
VASN	KRTAP5-1
VASN	ZNF837
VASN	KRTAP4-2
VASN	KRTAP10-3
VASN	TGM1
VASN	NOTCH2NL
VASN	RGS17
VASN	GRN
VASN	LCE1D
VASN	KRTAP12-2
VASN	KRTAP10-8
VASN	RGS20
VASN	EFEMP1
VASN	C9orf169
VASN	MDFI
VASN	LCE4A
VASN	TRIP6
VASN	RNF31
VASN	KRTAP12-3
VASN	KRTAP4-1
VASN	PLEKHG4
VASN	KRT31
VASN	ADAMTSL4
VASN	KRTAP2-4
VASN	RGS19
VASN	KRTAP6-3
VASN	MTUS2
VASN	KRTAP10-6
VASN	LCE2A
VASN	LCE2C
VASN	LCE2D
VASN	LCE3A
