GCN20	ABCF3
ATG1	CDK5
KIC1	NRK
EPL1	EPC1
KIC1	TBK1
MLP2	TPR
VTA1	VTA1
SYNM	SYNM
CSN12	PCID2
CBK1	CDK2
SIN3	SIN3A
KAPC	JAK2
KAPB	CDK4
EIF2A	EIF2A
ARB1	CFTR
DBF20	JAK2
PNPH	MTAP
NIP80	CLIP2
IPL1	AURKB
SAR1	SAR1B
ATG1	NTRK2
PKH2	ACVR1
CDC5	FGFR2
BDF2	BRD4
ARK1	FGFR2
IPI3	WDR18
BUR1	CDK4
DAP2	DPP6
BECN1	BECN1
NAT1	NAA15
KAPC	EGFR
CDC5	TBK1
SRP68	SRP68
RAD53	NTRK2
KAPC	CDK4
TSA1	PRDX4
RAD53	JAK2
STP1	IKZF3
SMC4	SMC4
PDS5	PDS5A
ARF2	ARF3
PHO23	ING2
NOP10	NOP10
KIN28	FGFR1
RAS1	RRAS2
CDC5	JAK2
ABF2	HMGB2
YTM1	WDR12
BUR1	ACVR1
GBP2	MYEF2
ROX1	SOX17
VPS35	VPS35
IPL1	CDK4
SSO2	STX1A
SLA2	HIP1
RAD53	FGFR1
FIS1	FIS1
MCM1	MEF2D
KIP1	KIF11
RAD18	RAD18
MAP2	MAP2
YO087	WDR48
NRD1	SCAF8
TAP42	IGBP1
SAR1	SAR1A
KPC1	FYN
TWF1	TWF2
KAPB	CDK2
LAG1	CERS5
SPS1	STK4
MEX67	NXF1
BEM1	GRB2
PEP5	VPS11
RPN7	PSMD6
YSH1	CPSF3
PDS5	PDS5B
RFC1	RFC1
AKL1	BMP2K
POP2	CNOT7
VPS25	VPS25
MYO1	MYH11
KIC1	CDK6
CWC22	CWC22
YOX1	MSX2
SMC3	SMC3
PDI	PDIA3
RPN1	PSMD2
NOP3	SFPQ
KIC1	AKT1
ARK1	TBK1
RRP12	RRP12
NCL1	NSUN2
GPA1	GNA11
CBK1	FGFR3
RAD25	ERCC3
ECM5	KDM5A
CDC5	NTRK2
MPS1	EGFR
ECM5	KDM5D
DBF20	CDK2
KAPB	FGFR2
EIF3C	EIF3C
LAG1	CERS4
NGR1	TIA1
CGS5	CCND2
KIC1	ACVR1
MAG2	RNF10
DBF20	AKT1
KIN28	EGFR
PEX1	PEX1
ATG1	CDK6
HCM1	FOXO1
PKH2	TBK1
